CRUISE,ORIGINAL,COMPILED,Time,Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Depth,ID,Variable,Units,405,411,443,455,465,510,520,530,550,555,560,565,570,590,619,625,665,670,683,715,750
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-08T04:54:00Z,2006,02,08,04,54,00,60.00407,-62.34059,90,05_06_V3_BROKEWEST_2006-02-08T04:54:00Z,ap,m-1,0.0151,0.0159,0.0171,0.0155,0.0144,0.0073,0.0065,0.0055,0.0035,0.0035,0.003,0.0029,0.0029,0.0031,0.0028,0.0027,0.0049,0.0062,0.0044,0.0006,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T01:06:00Z,2006,02,09,01,06,00,60.00845,-63.67102,10,05_06_V3_BROKEWEST_2006-02-09T01:06:00Z,ap,m-1,0.0115,0.0121,0.0133,0.0122,0.0108,0.0053,0.0049,0.0038,0.0028,0.0028,0.0024,0.0023,0.002,0.0024,0.0019,0.0015,0.0033,0.004,0.0027,0.0007,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T01:06:00Z,2006,02,09,01,06,00,60.00845,-63.67102,40,05_06_V3_BROKEWEST_2006-02-09T01:06:00Z,ap,m-1,0.0137,0.0141,0.0142,0.0132,0.0123,0.006,0.0053,0.0044,0.0029,0.0026,0.0024,0.0022,0.0022,0.0022,0.002,0.0019,0.0033,0.0041,0.0028,0.0003,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T01:06:00Z,2006,02,09,01,06,00,60.00845,-63.67102,90,05_06_V3_BROKEWEST_2006-02-09T01:06:00Z,ap,m-1,0.0186,0.0195,0.0208,0.02,0.0184,0.0094,0.0084,0.0074,0.0047,0.0043,0.0038,0.0036,0.0035,0.0039,0.0032,0.0034,0.0064,0.0077,0.0052,0.0009,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T08:57:00Z,2006,02,09,08,57,00,60.00067,-64.34364,10,05_06_V3_BROKEWEST_2006-02-09T08:57:00Z,ap,m-1,0.0105,0.011,0.012,0.0115,0.0109,0.0049,0.0038,0.003,0.0019,0.0017,0.0016,0.0013,0.0013,0.0013,0.0014,0.0012,0.0029,0.0037,0.0024,0,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T08:57:00Z,2006,02,09,08,57,00,60.00067,-64.34364,50,05_06_V3_BROKEWEST_2006-02-09T08:57:00Z,ap,m-1,0.0115,0.0119,0.0127,0.0117,0.0113,0.0052,0.0042,0.0033,0.0023,0.002,0.0018,0.0015,0.0016,0.0016,0.0016,0.0016,0.0032,0.0041,0.0027,0,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-09T08:57:00Z,2006,02,09,08,57,00,60.00067,-64.34364,90,05_06_V3_BROKEWEST_2006-02-09T08:57:00Z,ap,m-1,0.0121,0.0125,0.0134,0.0122,0.0122,0.006,0.005,0.004,0.0026,0.0024,0.0022,0.0019,0.0019,0.0024,0.0023,0.0022,0.0042,0.0053,0.0039,0.0003,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T08:29:00Z,2006,02,10,08,29,00,59.99199,-66.00302,10,05_06_V3_BROKEWEST_2006-02-10T08:29:00Z,ap,m-1,0.0106,0.0112,0.0129,0.0123,0.0118,0.005,0.004,0.0032,0.0022,0.0018,0.0019,0.0015,0.0014,0.0016,0.0016,0.0015,0.003,0.0038,0.0026,0.0001,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T08:29:00Z,2006,02,10,08,29,00,59.99199,-66.00302,60,05_06_V3_BROKEWEST_2006-02-10T08:29:00Z,ap,m-1,0.0171,0.0179,0.0198,0.0182,0.0179,0.0087,0.0073,0.0058,0.0037,0.0032,0.0028,0.0026,0.0026,0.0029,0.0028,0.0028,0.0057,0.0073,0.0049,0.0003,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T14:09:00Z,2006,02,10,14,09,00,59.99972,-66.31366,10,05_06_V3_BROKEWEST_2006-02-10T14:09:00Z,ap,m-1,0.0124,0.013,0.0141,0.0137,0.0129,0.0053,0.0043,0.0035,0.0024,0.002,0.0019,0.0018,0.0016,0.0018,0.0015,0.0016,0.0031,0.004,0.0028,0.0001,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T14:09:00Z,2006,02,10,14,09,00,59.99972,-66.31366,40,05_06_V3_BROKEWEST_2006-02-10T14:09:00Z,ap,m-1,0.0148,0.0157,0.0177,0.016,0.0157,0.0074,0.0062,0.005,0.0031,0.0028,0.0026,0.0025,0.0024,0.0029,0.0028,0.0029,0.0059,0.0073,0.0053,0.0003,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T14:09:00Z,2006,02,10,14,09,00,59.99972,-66.31366,80,05_06_V3_BROKEWEST_2006-02-10T14:09:00Z,ap,m-1,0.0133,0.0138,0.0143,0.0138,0.0131,0.0057,0.0048,0.0039,0.0026,0.0023,0.0019,0.0018,0.0018,0.0019,0.0016,0.0017,0.0033,0.0043,0.003,0,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T19:32:00Z,2006,02,10,19,32,00,59.9608,-66.49846,10,05_06_V3_BROKEWEST_2006-02-10T19:32:00Z,ap,m-1,0.0099,0.0098,0.0108,0.0103,0.0099,0.0043,0.0036,0.003,0.0021,0.0017,0.0015,0.0016,0.0013,0.0016,0.0013,0.0013,0.0023,0.003,0.0023,0,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T19:32:00Z,2006,02,10,19,32,00,59.9608,-66.49846,90,05_06_V3_BROKEWEST_2006-02-10T19:32:00Z,ap,m-1,0.0153,0.0162,0.0184,0.0168,0.0167,0.0078,0.0069,0.0054,0.0032,0.0027,0.0023,0.0023,0.0022,0.0026,0.0024,0.0026,0.0056,0.0072,0.0051,0.0001,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T23:08:00Z,2006,02,10,23,08,00,59.96785,-66.55705,20,05_06_V3_BROKEWEST_2006-02-10T23:08:00Z,ap,m-1,0.0259,0.0265,0.026,0.0233,0.0219,0.0105,0.0086,0.007,0.0047,0.0043,0.0036,0.0035,0.0033,0.0036,0.0038,0.0039,0.0082,0.0103,0.0077,0.0005,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-10T23:08:00Z,2006,02,10,23,08,00,59.96785,-66.55705,50,05_06_V3_BROKEWEST_2006-02-10T23:08:00Z,ap,m-1,0.0189,0.0196,0.0206,0.0185,0.018,0.0088,0.0076,0.0063,0.0042,0.0037,0.0032,0.0029,0.0027,0.003,0.0031,0.0031,0.0066,0.0084,0.006,0.0004,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T02:16:00Z,2006,02,11,02,16,00,59.96748,-66.66141,10,05_06_V3_BROKEWEST_2006-02-11T02:16:00Z,ap,m-1,0.0853,0.0848,0.077,0.0662,0.061,0.0299,0.025,0.0209,0.0146,0.0133,0.0121,0.0111,0.011,0.0121,0.0129,0.0133,0.0268,0.033,0.0261,0.0024,0.0003
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T02:16:00Z,2006,02,11,02,16,00,59.96748,-66.66141,30,05_06_V3_BROKEWEST_2006-02-11T02:16:00Z,ap,m-1,0.034,0.0357,0.0348,0.0308,0.0297,0.016,0.014,0.0124,0.0086,0.008,0.0071,0.0065,0.0062,0.0069,0.0068,0.0069,0.0132,0.0161,0.0122,0.0011,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T05:17:00Z,2006,02,11,05,17,00,59.97529,-66.68059,15,05_06_V3_BROKEWEST_2006-02-11T05:17:00Z,ap,m-1,0.1249,0.1256,0.1099,0.0944,0.0867,0.0424,0.035,0.0287,0.0202,0.0182,0.0163,0.0156,0.0149,0.0167,0.0181,0.0186,0.0379,0.0468,0.0375,0.0035,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T05:17:00Z,2006,02,11,05,17,00,59.97529,-66.68059,30,05_06_V3_BROKEWEST_2006-02-11T05:17:00Z,ap,m-1,0.0378,0.0382,0.0372,0.0331,0.0311,0.0161,0.0141,0.0123,0.0082,0.0076,0.0066,0.0062,0.0059,0.0067,0.0071,0.0073,0.0149,0.0183,0.0139,0.0012,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T08:02:00Z,2006,02,11,08,02,00,59.99201,-66.90237,20,05_06_V3_BROKEWEST_2006-02-11T08:02:00Z,ap,m-1,0.0988,0.0994,0.0902,0.0802,0.0753,0.0402,0.035,0.0295,0.0205,0.0191,0.0167,0.0159,0.0156,0.017,0.0175,0.0177,0.0364,0.0439,0.0338,0.0032,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-11T08:02:00Z,2006,02,11,08,02,00,59.99201,-66.90237,40,05_06_V3_BROKEWEST_2006-02-11T08:02:00Z,ap,m-1,0.0569,0.0578,0.0544,0.0488,0.0461,0.0254,0.0222,0.0189,0.0128,0.0117,0.0102,0.0095,0.0093,0.0106,0.0108,0.0111,0.0222,0.0271,0.021,0.0017,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T00:36:00Z,2006,02,17,00,36,00,69.98748,-62.00015,10,05_06_V3_BROKEWEST_2006-02-17T00:36:00Z,ap,m-1,0.0288,0.0287,0.0279,0.026,0.0244,0.0125,0.0105,0.0088,0.0057,0.0051,0.0045,0.0041,0.0039,0.0041,0.0039,0.0039,0.0084,0.0105,0.0068,0.0002,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T00:36:00Z,2006,02,17,00,36,00,69.98748,-62.00015,30,05_06_V3_BROKEWEST_2006-02-17T00:36:00Z,ap,m-1,0.0357,0.0354,0.0352,0.0324,0.0309,0.0159,0.0136,0.0111,0.0074,0.0067,0.006,0.0055,0.0052,0.0054,0.0052,0.0053,0.0113,0.014,0.0094,0.0006,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T00:36:00Z,2006,02,17,00,36,00,69.98748,-62.00015,60,05_06_V3_BROKEWEST_2006-02-17T00:36:00Z,ap,m-1,0.0276,0.0279,0.027,0.0245,0.0235,0.0123,0.0108,0.009,0.0058,0.0053,0.0047,0.0044,0.0042,0.0045,0.0043,0.0044,0.0091,0.0113,0.0077,0.0007,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T10:00:00Z,2006,02,17,10,00,00,69.99579,-62.66728,10,05_06_V3_BROKEWEST_2006-02-17T10:00:00Z,ap,m-1,0.018,0.0179,0.0173,0.016,0.0154,0.0072,0.0062,0.0053,0.0032,0.0031,0.0026,0.0023,0.0023,0.0025,0.0023,0.0022,0.0051,0.0066,0.0042,0.0001,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T10:00:00Z,2006,02,17,10,00,00,69.99579,-62.66728,40,05_06_V3_BROKEWEST_2006-02-17T10:00:00Z,ap,m-1,0.0213,0.0213,0.021,0.0196,0.019,0.0092,0.0082,0.0068,0.0042,0.0042,0.0034,0.003,0.003,0.003,0.0026,0.0028,0.0071,0.009,0.006,0.0001,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T10:00:00Z,2006,02,17,10,00,00,69.99579,-62.66728,70,05_06_V3_BROKEWEST_2006-02-17T10:00:00Z,ap,m-1,0.0103,0.0099,0.0102,0.0094,0.0092,0.0048,0.0041,0.0036,0.0022,0.0021,0.0018,0.0017,0.0016,0.0018,0.0017,0.0016,0.0035,0.0044,0.0031,0.0003,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T20:20:00Z,2006,02,17,20,20,00,69.98611,-63.33602,10,05_06_V3_BROKEWEST_2006-02-17T20:20:00Z,ap,m-1,0.0219,0.0225,0.0225,0.0209,0.0205,0.0102,0.0086,0.0072,0.0046,0.0042,0.0038,0.0035,0.0032,0.0031,0.0028,0.0032,0.0063,0.0082,0.0052,-0.0003,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T20:20:00Z,2006,02,17,20,20,00,69.98611,-63.33602,30,05_06_V3_BROKEWEST_2006-02-17T20:20:00Z,ap,m-1,0.0245,0.0244,0.0239,0.0224,0.0214,0.0104,0.0089,0.0074,0.0046,0.0044,0.0037,0.0033,0.0032,0.0034,0.0032,0.0032,0.007,0.0091,0.0057,0.0003,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-17T20:20:00Z,2006,02,17,20,20,00,69.98611,-63.33602,70,05_06_V3_BROKEWEST_2006-02-17T20:20:00Z,ap,m-1,0.0117,0.0117,0.0116,0.0109,0.0107,0.0051,0.0046,0.0039,0.0027,0.0023,0.002,0.0019,0.0017,0.002,0.0019,0.0016,0.0034,0.0044,0.0029,0,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T06:25:00Z,2006,02,18,06,25,00,70.00075,-63.98896,10,05_06_V3_BROKEWEST_2006-02-18T06:25:00Z,ap,m-1,0.0144,0.0144,0.0149,0.0138,0.0131,0.0064,0.0055,0.0044,0.0029,0.0027,0.0023,0.0023,0.0021,0.002,0.0018,0.002,0.0038,0.0047,0.0029,0.0003,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T06:25:00Z,2006,02,18,06,25,00,70.00075,-63.98896,50,05_06_V3_BROKEWEST_2006-02-18T06:25:00Z,ap,m-1,0.0131,0.0132,0.0147,0.0133,0.0129,0.0066,0.0057,0.0049,0.0033,0.0032,0.0027,0.0026,0.0025,0.0023,0.0019,0.0021,0.0039,0.0049,0.0031,0.0003,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T06:25:00Z,2006,02,18,06,25,00,70.00075,-63.98896,70,05_06_V3_BROKEWEST_2006-02-18T06:25:00Z,ap,m-1,0.0122,0.0127,0.0131,0.0117,0.0114,0.0057,0.0049,0.004,0.0029,0.0027,0.0023,0.0022,0.0022,0.0022,0.0022,0.0023,0.0041,0.0049,0.0035,0.0004,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T12:25:00Z,2006,02,18,12,25,00,70.00114,-64.49831,10,05_06_V3_BROKEWEST_2006-02-18T12:25:00Z,ap,m-1,0.0167,0.0173,0.0181,0.0161,0.0157,0.0078,0.007,0.0056,0.0038,0.0037,0.0032,0.0031,0.0029,0.003,0.0029,0.003,0.0058,0.007,0.0047,0.0006,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T12:25:00Z,2006,02,18,12,25,00,70.00114,-64.49831,55,05_06_V3_BROKEWEST_2006-02-18T12:25:00Z,ap,m-1,0.047,0.048,0.0463,0.0419,0.0407,0.0223,0.0201,0.0174,0.0125,0.0116,0.0102,0.0097,0.0097,0.0093,0.0088,0.009,0.015,0.0177,0.0107,0.0004,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T12:25:00Z,2006,02,18,12,25,00,70.00114,-64.49831,70,05_06_V3_BROKEWEST_2006-02-18T12:25:00Z,ap,m-1,0.0197,0.0202,0.0197,0.0181,0.0172,0.0065,0.0056,0.0046,0.0029,0.0029,0.0025,0.0023,0.0022,0.0019,0.0018,0.0021,0.0038,0.0046,0.0031,0.0003,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T22:22:00Z,2006,02,18,22,22,00,69.97908,-64.99265,10,05_06_V3_BROKEWEST_2006-02-18T22:22:00Z,ap,m-1,0.0155,0.0153,0.0144,0.0129,0.0126,0.0064,0.0056,0.0048,0.0033,0.0029,0.0027,0.0027,0.0026,0.0023,0.002,0.0019,0.0038,0.0047,0.003,0.0002,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T22:22:00Z,2006,02,18,22,22,00,69.97908,-64.99265,50,05_06_V3_BROKEWEST_2006-02-18T22:22:00Z,ap,m-1,0.0215,0.0215,0.0214,0.0198,0.0193,0.0116,0.0102,0.0094,0.0071,0.0069,0.0064,0.0061,0.006,0.0061,0.0054,0.0053,0.0078,0.0073,0.0047,0.0007,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-18T22:22:00Z,2006,02,18,22,22,00,69.97908,-64.99265,70,05_06_V3_BROKEWEST_2006-02-18T22:22:00Z,ap,m-1,0.0192,0.0198,0.0208,0.0189,0.0189,0.0108,0.0097,0.0084,0.005,0.0046,0.004,0.0036,0.0035,0.0034,0.0032,0.0031,0.007,0.0086,0.0051,0.0004,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T03:56:00Z,2006,02,19,03,56,00,69.98946,-65.50277,10,05_06_V3_BROKEWEST_2006-02-19T03:56:00Z,ap,m-1,0.0123,0.0124,0.0132,0.0119,0.0113,0.0061,0.0051,0.0046,0.0031,0.0028,0.0027,0.0028,0.0027,0.0024,0.0022,0.002,0.0034,0.0044,0.0023,0.0004,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T03:56:00Z,2006,02,19,03,56,00,69.98946,-65.50277,50,05_06_V3_BROKEWEST_2006-02-19T03:56:00Z,ap,m-1,0.0182,0.0178,0.0181,0.0167,0.0158,0.0078,0.0068,0.006,0.0039,0.0039,0.0031,0.0031,0.0031,0.0029,0.0024,0.0024,0.0055,0.0065,0.004,0.0004,-0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T03:56:00Z,2006,02,19,03,56,00,69.98946,-65.50277,70,05_06_V3_BROKEWEST_2006-02-19T03:56:00Z,ap,m-1,0.0169,0.0168,0.0183,0.0165,0.0168,0.009,0.0079,0.0067,0.0044,0.0039,0.0034,0.003,0.003,0.0031,0.0026,0.0025,0.0062,0.0074,0.0048,0.0002,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T03:56:00Z,2006,02,19,03,56,00,69.98946,-65.50277,100,05_06_V3_BROKEWEST_2006-02-19T03:56:00Z,ap,m-1,0.0109,0.0113,0.0118,0.0102,0.0102,0.0055,0.0046,0.0042,0.0028,0.0026,0.0024,0.0023,0.0021,0.0024,0.0021,0.0019,0.0038,0.0047,0.0032,0.0006,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T11:31:00Z,2006,02,19,11,31,00,70.00237,-66.00081,20,05_06_V3_BROKEWEST_2006-02-19T11:31:00Z,ap,m-1,0.0128,0.0128,0.0139,0.0126,0.0121,0.0053,0.0043,0.0037,0.002,0.0019,0.0018,0.0015,0.0015,0.0013,0.0012,0.0014,0.0031,0.0041,0.0024,0.0001,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T11:31:00Z,2006,02,19,11,31,00,70.00237,-66.00081,50,05_06_V3_BROKEWEST_2006-02-19T11:31:00Z,ap,m-1,0.016,0.0166,0.0168,0.0153,0.0149,0.0071,0.0059,0.0049,0.0027,0.0029,0.0026,0.0023,0.0022,0.0022,0.0022,0.0023,0.0048,0.0061,0.0039,0.0002,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T11:31:00Z,2006,02,19,11,31,00,70.00237,-66.00081,100,05_06_V3_BROKEWEST_2006-02-19T11:31:00Z,ap,m-1,0.0074,0.0081,0.0084,0.0075,0.0071,0.0039,0.0032,0.0027,0.0014,0.0017,0.0017,0.0014,0.0014,0.0013,0.0015,0.0013,0.0023,0.0033,0.0024,0.0006,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T15:36:00Z,2006,02,19,15,36,00,69.97255,-66.24833,10,05_06_V3_BROKEWEST_2006-02-19T15:36:00Z,ap,m-1,0.0144,0.0145,0.0133,0.0121,0.0114,0.0057,0.0048,0.0041,0.0025,0.0025,0.0024,0.0021,0.002,0.002,0.0019,0.0017,0.0029,0.0037,0.0024,0.0003,-0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T15:36:00Z,2006,02,19,15,36,00,69.97255,-66.24833,50,05_06_V3_BROKEWEST_2006-02-19T15:36:00Z,ap,m-1,0.0184,0.0189,0.02,0.018,0.0177,0.0092,0.0077,0.0065,0.0035,0.0036,0.0032,0.0029,0.0027,0.0028,0.0027,0.0028,0.0059,0.0074,0.0045,0.0002,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T15:36:00Z,2006,02,19,15,36,00,69.97255,-66.24833,90,05_06_V3_BROKEWEST_2006-02-19T15:36:00Z,ap,m-1,0.0089,0.0088,0.008,0.0072,0.0067,0.0036,0.0031,0.0026,0.0013,0.0016,0.0013,0.0012,0.0012,0.0012,0.001,0.0011,0.0018,0.0025,0.0019,0.0001,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T23:59:00Z,2006,02,19,23,59,00,69.99136,-66.72839,10,05_06_V3_BROKEWEST_2006-02-19T23:59:00Z,ap,m-1,0.0099,0.0107,0.0118,0.0115,0.0111,0.0049,0.0042,0.0033,0.0017,0.0018,0.0015,0.0014,0.0014,0.0015,0.0015,0.0014,0.0028,0.0035,0.0025,0.0003,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T23:59:00Z,2006,02,19,23,59,00,69.99136,-66.72839,50,05_06_V3_BROKEWEST_2006-02-19T23:59:00Z,ap,m-1,0.0129,0.0134,0.0151,0.0143,0.0139,0.0063,0.0055,0.0043,0.0026,0.0022,0.0021,0.0018,0.0019,0.002,0.0019,0.0019,0.0038,0.0049,0.0034,0.0003,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-19T23:59:00Z,2006,02,19,23,59,00,69.99136,-66.72839,90,05_06_V3_BROKEWEST_2006-02-19T23:59:00Z,ap,m-1,0.0142,0.0152,0.017,0.0156,0.0154,0.008,0.007,0.0057,0.0035,0.0033,0.0028,0.0027,0.0027,0.0028,0.0027,0.0029,0.0057,0.007,0.0054,0.0004,0.0002
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-20T04:11:00Z,2006,02,20,04,11,00,69.99149,-66.82312,10,05_06_V3_BROKEWEST_2006-02-20T04:11:00Z,ap,m-1,0.0092,0.0098,0.0111,0.011,0.0103,0.0044,0.0037,0.0029,0.0018,0.0016,0.0016,0.0015,0.0014,0.0015,0.0017,0.0015,0.0027,0.0034,0.0024,0.0002,0.0001
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-20T04:11:00Z,2006,02,20,04,11,00,69.99149,-66.82312,60,05_06_V3_BROKEWEST_2006-02-20T04:11:00Z,ap,m-1,0.0099,0.0108,0.012,0.0111,0.011,0.0055,0.005,0.0037,0.0023,0.002,0.0017,0.0017,0.0016,0.0018,0.0017,0.0017,0.0036,0.0045,0.0035,0.0003,0
05_06_V3_BROKEWEST,BROKEWEST,CSIRO,2006-02-20T04:11:00Z,2006,02,20,04,11,00,69.99149,-66.82312,100,05_06_V3_BROKEWEST_2006-02-20T04:11:00Z,ap,m-1,0.0122,0.0131,0.0139,0.0127,0.0125,0.0061,0.0054,0.0042,0.0024,0.0023,0.0022,0.002,0.002,0.0022,0.0022,0.0021,0.0042,0.0053,0.0038,0.0003,0.0001
