lAMBDA,CHLA,CHLB,CHLC,PSC,PPC,PEB,PUB
400,0.0128,0.0042,0.0203,0.0059,0.0131,0.00066,0.00013
402,0.0129,0.0038,0.0206,0.0061,0.0145,0.00064,0.00012
404,0.0132,0.0035,0.0209,0.0065,0.0157,0.00061,0.00011
406,0.0139,0.0032,0.0211,0.0067,0.0171,0.00057,0.0001
408,0.0148,0.0031,0.0211,0.007,0.0185,0.00054,0.00009
410,0.0159,0.0031,0.0212,0.0074,0.0196,0.00052,0.00008
412,0.017,0.0032,0.0213,0.0078,0.0209,0.00049,0.00008
414,0.018,0.0033,0.0212,0.0082,0.0221,0.00046,0.00008
416,0.0188,0.0034,0.0212,0.0087,0.0233,0.00045,0.00008
418,0.0193,0.0036,0.0216,0.0092,0.0247,0.00043,0.00008
420,0.0195,0.0038,0.022,0.0097,0.0261,0.00042,0.00008
422,0.0193,0.004,0.0225,0.0102,0.028,0.00041,0.00008
424,0.0191,0.0043,0.0234,0.0108,0.0299,0.0004,0.00009
426,0.0189,0.0047,0.0245,0.0113,0.0321,0.00039,0.00009
428,0.0191,0.0053,0.0258,0.012,0.0343,0.00039,0.00011
430,0.0199,0.0061,0.0271,0.0127,0.0365,0.00038,0.00013
432,0.0212,0.0071,0.0289,0.0135,0.0384,0.00038,0.00014
434,0.0229,0.0082,0.0306,0.0143,0.0399,0.00038,0.00015
436,0.0247,0.0094,0.0326,0.0151,0.0412,0.00038,0.00016
438,0.0261,0.0106,0.0348,0.016,0.0422,0.00038,0.00018
440,0.0265,0.0118,0.0372,0.0168,0.043,0.00039,0.00021
442,0.0255,0.0127,0.04,0.0177,0.0437,0.00039,0.00023
444,0.0229,0.0132,0.0434,0.0185,0.0446,0.0004,0.00026
446,0.0193,0.0137,0.0476,0.0194,0.0458,0.00042,0.00029
448,0.0151,0.0139,0.0521,0.0203,0.0474,0.00044,0.00034
450,0.0111,0.0142,0.0572,0.0212,0.0494,0.00047,0.00039
452,0.0077,0.0147,0.0618,0.0223,0.0517,0.00051,0.00045
454,0.0052,0.0155,0.0656,0.0233,0.0542,0.00053,0.00049
456,0.0034,0.017,0.0686,0.0243,0.0564,0.00057,0.00057
458,0.0022,0.0192,0.0702,0.0253,0.0583,0.00062,0.00065
460,0.0015,0.022,0.0708,0.0263,0.0596,0.00063,0.00069
462,0.001,0.0252,0.0703,0.0272,0.0603,0.00069,0.00073
464,0.0007,0.0286,0.0689,0.028,0.0602,0.00074,0.00082
466,0.0006,0.0316,0.0665,0.0288,0.0593,0.00079,0.00091
468,0.0005,0.0337,0.0629,0.0296,0.0579,0.00088,0.001
470,0.0004,0.0347,0.0584,0.0304,0.056,0.00092,0.00109
472,0.0004,0.0343,0.0527,0.031,0.0541,0.00099,0.00117
474,0.0003,0.0327,0.0461,0.0319,0.0524,0.00108,0.00127
476,0.0003,0.03,0.0395,0.0327,0.051,0.00117,0.00139
478,0.0003,0.0269,0.0326,0.0336,0.0503,0.00124,0.00152
480,0.0003,0.0233,0.0258,0.0345,0.0503,0.00137,0.00171
482,0.0003,0.0198,0.0204,0.0353,0.0506,0.00149,0.00194
484,0.0003,0.0163,0.0156,0.036,0.0515,0.00162,0.00229
486,0.0003,0.0133,0.0119,0.0364,0.0524,0.00169,0.00245
488,0.0003,0.0107,0.0088,0.0367,0.0529,0.00189,0.00258
490,0.0003,0.0084,0.0068,0.0368,0.0532,0.00219,0.00265
492,0.0003,0.0066,0.0053,0.0367,0.0526,0.0024,0.00266
494,0.0004,0.0052,0.0042,0.0365,0.051,0.00257,0.00241
496,0.0004,0.004,0.0035,0.0361,0.0488,0.00264,0.00215
498,0.0004,0.0031,0.0031,0.0358,0.0457,0.00275,0.00191
500,0.0004,0.0025,0.0027,0.0354,0.042,0.00278,0.00155
502,0.0005,0.002,0.0022,0.0351,0.0378,0.00278,0.00121
504,0.0005,0.0017,0.0023,0.0349,0.0334,0.00278,0.00095
506,0.0005,0.0014,0.0021,0.0348,0.0288,0.00277,0.00085
508,0.0005,0.0012,0.0021,0.0346,0.0245,0.00277,0.00075
510,0.0005,0.0011,0.0019,0.0344,0.0205,0.00278,0.00067
512,0.0005,0.001,0.0018,0.0342,0.0168,0.00282,0.00064
514,0.0005,0.0009,0.0018,0.0337,0.0138,0.00291,0.00064
516,0.0005,0.0009,0.0018,0.033,0.011,0.00301,0.00064
518,0.0005,0.0009,0.0017,0.0321,0.0087,0.00307,0.00067
520,0.0005,0.0009,0.0016,0.031,0.0069,0.00319,0.0007
522,0.0005,0.0008,0.0015,0.0297,0.0054,0.00335,0.00074
524,0.0006,0.0008,0.0015,0.0283,0.0043,0.0035,0.0008
526,0.0006,0.0008,0.0015,0.0268,0.0033,0.00374,0.00083
528,0.0007,0.0008,0.0016,0.0253,0.0027,0.00389,0.00086
530,0.0007,0.0009,0.0016,0.0237,0.0022,0.00406,0.00094
532,0.0008,0.0009,0.0017,0.0222,0.0016,0.00436,0.00099
534,0.0008,0.0009,0.0017,0.0206,0.0013,0.00455,0.00105
536,0.0009,0.001,0.0018,0.0191,0.001,0.00487,0.00108
538,0.0009,0.001,0.0017,0.0177,0.0007,0.00511,0.00111
540,0.0009,0.0011,0.0019,0.0163,0.0007,0.00533,0.00113
542,0.0009,0.0011,0.0021,0.015,0.0006,0.00562,0.00112
544,0.0009,0.0012,0.0021,0.0137,0.0003,0.00581,0.00112
546,0.0009,0.0013,0.0024,0.0125,0.0003,0.00587,0.00106
548,0.0009,0.0013,0.0024,0.0114,0.0002,0.00591,0.00102
550,0.0009,0.0014,0.0025,0.0104,0.0001,0.00575,0.00094
552,0.0009,0.0014,0.0027,0.0094,0.0001,0.00559,0.00084
554,0.0009,0.0015,0.0027,0.0084,0,0.00522,0.00069
556,0.0009,0.0016,0.0028,0.0076,0,0.00474,0.00053
558,0.0009,0.0016,0.0029,0.0069,0,0.00406,0.00043
560,0.0009,0.0016,0.0031,0.0061,0,0.00311,0.00036
562,0.0009,0.0016,0.0033,0.0055,0,0.00253,0.00028
564,0.0009,0.0017,0.0035,0.0048,0,0.00151,0.00021
566,0.0009,0.0017,0.0037,0.0043,0,0.00108,0.00019
568,0.001,0.0017,0.0039,0.0039,0,0.00078,0.00017
570,0.0011,0.0018,0.0041,0.0034,0,0.00061,0.00012
572,0.0012,0.0018,0.0043,0.0031,0,0.00045,0.00008
574,0.0013,0.0019,0.0045,0.0027,0,0.00038,0.00006
576,0.0014,0.0019,0.0048,0.0024,0,0.00031,0.00004
578,0.0016,0.0019,0.0052,0.0022,0,0.00026,0.00003
580,0.0017,0.0019,0.0057,0.0019,0,0.00021,0.00001
582,0.0018,0.002,0.006,0.0017,0,0.00019,0.00001
584,0.002,0.002,0.0063,0.0015,0,0.00015,0
586,0.0021,0.0021,0.0064,0.0013,0,0.00014,0
588,0.0022,0.0022,0.0063,0.0012,0,0.00012,0
590,0.0022,0.0023,0.0059,0.001,0,0.00011,0
592,0.0023,0.0024,0.0056,0.0009,0,0.0001,0
594,0.0023,0.0026,0.0051,0.0008,0,0.00009,0
596,0.0023,0.0027,0.0046,0.0007,0,0.00008,0
598,0.0022,0.0028,0.004,0.0006,0,0.00007,0
600,0.0022,0.0029,0.0037,0.0006,0,0.00005,0
602,0.0021,0.0029,0.0034,0.0004,0,0.00005,0
604,0.0021,0.0029,0.0031,0.0004,0,0.00004,0
606,0.0021,0.0028,0.003,0.0004,0,0.00003,0
608,0.0022,0.0027,0.003,0.0003,0,0.00003,0
610,0.0024,0.0026,0.0032,0.0002,0,0.00002,0
612,0.0026,0.0025,0.0033,0.0001,0,0.00001,0
614,0.0029,0.0024,0.0035,0.0001,0,0,0
616,0.0031,0.0024,0.0037,0.0001,0,0,0
618,0.0034,0.0023,0.0038,0,0,0,0
620,0.0036,0.0023,0.0041,0,0,0,0
622,0.0038,0.0023,0.0046,0,0,0,0
624,0.004,0.0023,0.0052,0,0,0,0
626,0.0041,0.0023,0.0058,0,0,0,0
628,0.0041,0.0024,0.0068,0,0,0,0
630,0.0041,0.0025,0.0079,0,0,0,0
632,0.004,0.0027,0.009,0,0,0,0
634,0.0039,0.0031,0.0097,0,0,0,0
636,0.0038,0.0036,0.0098,0,0,0,0
638,0.0036,0.0044,0.0094,0,0,0,0
640,0.0034,0.0054,0.0086,0,0,0,0
642,0.0032,0.0066,0.0072,0,0,0,0
644,0.003,0.008,0.0061,0,0,0,0
646,0.0029,0.0094,0.0047,0,0,0,0
648,0.0029,0.0106,0.0036,0,0,0,0
650,0.003,0.0115,0.0032,0,0,0,0
652,0.0032,0.0118,0.0027,0,0,0,0
654,0.0036,0.0115,0.0024,0,0,0,0
656,0.0042,0.0106,0.0021,0,0,0,0
658,0.0052,0.0091,0.0018,0,0,0,0
660,0.0066,0.0077,0.0015,0,0,0,0
662,0.0082,0.0063,0.0013,0,0,0,0
664,0.0106,0.0046,0.0011,0,0,0,0
666,0.0137,0.0036,0.0008,0,0,0,0
668,0.0155,0.0028,0.0006,0,0,0,0
670,0.0182,0.0021,0.0004,0,0,0,0
672,0.0196,0.0016,0.0003,0,0,0,0
674,0.0203,0.0012,0.0002,0,0,0,0
676,0.0199,0.0009,0.0002,0,0,0,0
678,0.0182,0.0007,0.0001,0,0,0,0
680,0.0154,0.0005,0.0001,0,0,0,0
682,0.0127,0.0004,0.0001,0,0,0,0
684,0.0104,0.0001,0,0,0,0,0
686,0.0076,0.0003,0,0,0,0,0
688,0.0058,0.0002,0,0,0,0,0
690,0.0045,0.0001,0,0,0,0,0
692,0.0033,0.0001,0,0,0,0,0
694,0.002,0.0001,0,0,0,0,0
696,0.0013,0.0001,0,0,0,0,0
698,0.001,0.0001,0,0,0,0,0
700,0.0008,0.0001,0,0,0,0,0
702,0.0006,0,0,0,0,0,0
704,0.0005,0,0,0,0,0,0
706,0.0004,0,0,0,0,0,0
708,0.0004,0,0,0,0,0,0
710,0.0003,0,0,0,0,0,0
712,0.0003,0,0,0,0,0,0
714,0.0002,0,0,0,0,0,0
716,0.0002,0,0,0,0,0,0
718,0.0002,0,0,0,0,0,0
720,0.0002,0,0,0,0,0,0
722,0.0001,0,0,0,0,0,0
724,0.0001,0,0,0,0,0,0
726,0.0001,0,0,0,0,0,0
728,0.0001,0,0,0,0,0,0
730,0.0001,0,0,0,0,0,0
732,0.0001,0,0,0,0,0,0
734,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0
