test,number,OG,ps_type,ap_type,name,date,start,end,runtime,path,tiny,k_w,ap_s,astar,QY,alpha,degCHL_phyto,slope_phy,ap_d,astar_d,QY_d,alpha_d,degCHL_diatom,slope_dia,scatter,aparcoeff,bparcoeff,size,Scdom,lambda,build
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GALILEO,NA,2,NA,NA,radtrans_marshall_oasim_aphyvar_initial_carbon_1slope_2group_fix,13/11/2020,20:53,00:02,03:09,/Res_model/,1.00E-08,0.04,0.021,0.0166,0.0001073,0.14,0.25,0.00193,0.0143,0.0143,1.68E-04,0.19,0.15,0.00142,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar_carbon_1slope_2group
GALILEO,1,1,a,1,radtrans_constant_01,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.015,0.007,0.000231,0.14,0.25,NA,0.015,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,2,1,a,2,radtrans_constant_02,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.023,0.007,0.000231,0.14,0.25,NA,0.023,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,3,1,a,3,radtrans_constant_03,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.03,0.007,0.000231,0.14,0.25,NA,0.03,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,4,1,b,1,radtrans_constant_04,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.015,0.015,0.000108,0.14,0.25,NA,0.015,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,5,1,b,2,radtrans_constant_05,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.023,0.015,0.000108,0.14,0.25,NA,0.023,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,6,1,b,3,radtrans_constant_06,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.03,0.015,0.000108,0.14,0.25,NA,0.03,0.015,0.000147,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,7,1,c,2,radtrans_constant_07,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.023,0.023,7.00E-05,0.14,0.25,NA,0.023,0.023,9.60E-05,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,8,1,c,3,radtrans_constant_08,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.03,0.023,7.00E-05,0.14,0.25,NA,0.03,0.023,9.60E-05,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,9,2,d,1,radtrans_constant_09,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.012,0.009,0.00018,0.14,0.25,NA,0.007,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,10,2,d,2,radtrans_constant_10,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.016,0.009,0.00018,0.14,0.25,NA,0.0106,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,11,2,d,3,radtrans_constant_11,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.021,0.009,0.00018,0.14,0.25,NA,0.0143,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,12,2,e,1,radtrans_constant_12,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.021,0.0151,0.000107,0.14,0.25,NA,0.0143,0.0131,0.000168,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,13,2,e,2,radtrans_constant_13,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.026,0.0151,0.000107,0.14,0.25,NA,0.018,0.0131,0.000168,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,14,2,e,3,radtrans_constant_14,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.03,0.0151,0.000107,0.14,0.25,NA,0.021,0.0131,0.000168,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,15,2,f,1,radtrans_constant_15,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.03,0.025,6.50E-05,0.14,0.25,NA,0.021,0.021,0.000105,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,16,2,f,2,radtrans_constant_16,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.035,0.025,6.50E-05,0.14,0.25,NA,0.025,0.021,0.000105,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,17,2,f,3,radtrans_constant_17,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.04,0.025,6.50E-05,0.14,0.25,NA,0.029,0.021,0.000105,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,18,2,g,1,radtrans_constant_18,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.04,0.025,6.50E-05,0.14,0.25,NA,0.0143,0.0131,0.000168,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,19,2,h,1,radtrans_constant_19,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.04,0.025,6.50E-05,0.14,0.25,NA,0.007,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
GALILEO,20,2,i,1,radtrans_constant_20,16/11/2020,NA,NA,NA,/Res_model/,1.00E-08,0.04,0.021,0.0151,0.000107,0.14,0.25,NA,0.007,0.007,0.000314,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt_carbon
G100,12,2,e,1,radtrans_constant_cnt,13/11/2021,19:29,02:03,06:34,/Res_model/,1.00E-08,0.04,0.021,0.0151,0.000107,0.14,0.25,NA,0.0143,0.0131,0.000168,0.19,0.15,NA,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphycnt
G100,NA,2,NA,NA,radtrans_marshall_fix,14/11/2021,10:22,16:52,06:30,/Res_model/,1.00E-08,0.04,0.021,0.0166,0.0001073,0.14,0.25,0.00193,0.0143,0.0143,1.68E-04,0.19,0.15,0.00142,D,0.016,0.345,NA,0.021,450,build_15_radtrans_aphyvar